Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Zahrul Setiyawan,1,Kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,2025-09-25 13:18:26,,0,1d881af7-ab0b-45ad-a49a-d9e72ab0aa32,kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,"['Kebanyakan', 'nyuruh', 'gw', 'bayar', 'asuw', 'baru', 'juga', 'downlod🙄']","['kebanyakan', 'nyuruh', 'gw', 'bayar', 'asuw', 'baru', 'juga', 'downlod🙄']","['kebanyakan', 'nyuruh', 'gw', 'bayar', 'asuw', 'baru', 'juga']",kebanyakan nyuruh bayar asuw baru juga,"[('kebanyakan', 'nyuruh'), ('nyuruh', 'gw'), ('gw', 'bayar'), ('bayar', 'asuw'), ('asuw', 'baru'), ('baru', 'juga')]","[('kebanyakan', 'nyuruh', 'gw'), ('nyuruh', 'gw', 'bayar'), ('gw', 'bayar', 'asuw'), ('bayar', 'asuw', 'baru'), ('asuw', 'baru', 'juga')]"
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,2025-09-25 11:36:21,,0,bb598720-20b2-4f9b-8ea6-d933e5d81d5c,kenapa ga bisa login sih ini!,"['kenapa', 'ga', 'bisa', 'login', 'sih', 'ini', '!']","['kenapa', 'ga', 'bisa', 'login', 'sih', 'ini', '!']","['kenapa', 'ga', 'bisa', 'login', 'sih', 'ini']",kenapa bisa login sih ini,"[('kenapa', 'ga'), ('ga', 'bisa'), ('bisa', 'login'), ('login', 'sih'), ('sih', 'ini')]","[('kenapa', 'ga', 'bisa'), ('ga', 'bisa', 'login'), ('bisa', 'login', 'sih'), ('login', 'sih', 'ini')]"
Andre Prasetyo,1,bad,2025-09-25 11:03:07,,0,ed79d46c-6ee9-40d9-a18e-5dc807795e16,bad,['bad'],['bad'],['bad'],bad,[],[]
Sandy Hasjamuttar,1,aplikasi ampas,2025-09-25 10:31:18,,0,d8789821-003b-4f70-a0c0-06fffa6176c4,aplikasi ampas,"['aplikasi', 'ampas']","['aplikasi', 'ampa']","['aplikasi', 'ampa']",aplikasi ampa,"[('aplikasi', 'ampa')]",[]
Nazriel R. A.,1,"Saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. Setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. Selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????",2025-09-25 09:57:49,,18,5298502e-8932-480d-a44c-d2aca675900e,"saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????","['Saya', 'mencoba', 'melakukan', 'pembayaran', 'untuk', 'mengecek', 'e-wallet', 'yang', 'digunakan', '.', 'Setelah', 'itu', ',', 'ternyata', 'yang', 'digunakan', 'shopee', 'pay', 'dan', 'saldonya', 'kurang', 'dari', '50rb', 'otomatis', 'gagal', '.', 'Selang', 'beberapa', 'bulan', 'saya', 'isi', 'saldo', '500rb', 'dan', 'ada', 'notif', 'kalo', 'pembayarannya', 'gagal', ',', 'tapi', 'setelah', 'saya', 'menggunakan', 'saldonya', '400rb', ',', 'saldo', 'saya', 'di', 'potong', 'sekitar', '54rb', 'untuk', 'berlangganan', ',', 'padahal', 'pembayaran', 'sudah', 'gagal', 'kenapa', 'masih', 'terpotongg', '?', '?', '?', '?', '?']","['saya', 'mencoba', 'melakukan', 'pembayaran', 'untuk', 'mengecek', 'e-wallet', 'yang', 'digunakan', '.', 'setelah', 'itu', ',', 'ternyata', 'yang', 'digunakan', 'shope', 'pay', 'dan', 'saldonya', 'kurang', 'dari', '50rb', 'otomati', 'gagal', '.', 'selang', 'beberapa', 'bulan', 'saya', 'isi', 'saldo', '500rb', 'dan', 'ada', 'notif', 'kalo', 'pembayarannya', 'gagal', ',', 'tapi', 'setelah', 'saya', 'menggunakan', 'saldonya', '400rb', ',', 'saldo', 'saya', 'di', 'potong', 'sekitar', '54rb', 'untuk', 'berlangganan', ',', 'padah', 'pembayaran', 'sudah', 'gagal', 'kenapa', 'masih', 'terpotongg', '?', '?', '?', '?', '?']","['saya', 'mencoba', 'melakukan', 'pembayaran', 'untuk', 'mengecek', 'yang', 'digunakan', 'setelah', 'itu', 'ternyata', 'yang', 'digunakan', 'shope', 'pay', 'dan', 'saldonya', 'kurang', 'dari', '50rb', 'otomati', 'gagal', 'selang', 'beberapa', 'bulan', 'saya', 'isi', 'saldo', '500rb', 'dan', 'ada', 'notif', 'kalo', 'pembayarannya', 'gagal', 'tapi', 'setelah', 'saya', 'menggunakan', 'saldonya', '400rb', 'saldo', 'saya', 'di', 'potong', 'sekitar', '54rb', 'untuk', 'berlangganan', 'padah', 'pembayaran', 'sudah', 'gagal', 'kenapa', 'masih', 'terpotongg']",saya mencoba melakukan pembayaran untuk mengecek yang digunakan setelah itu ternyata yang digunakan shope pay dan saldonya kurang dari 50rb otomati gagal selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal tapi setelah saya menggunakan saldonya 400rb saldo saya potong sekitar 54rb untuk berlangganan padah pembayaran sudah gagal kenapa masih terpotongg,"[('saya', 'mencoba'), ('mencoba', 'melakukan'), ('melakukan', 'pembayaran'), ('pembayaran', 'untuk'), ('untuk', 'mengecek'), ('mengecek', 'yang'), ('yang', 'digunakan'), ('digunakan', 'setelah'), ('setelah', 'itu'), ('itu', 'ternyata'), ('ternyata', 'yang'), ('yang', 'digunakan'), ('digunakan', 'shope'), ('shope', 'pay'), ('pay', 'dan'), ('dan', 'saldonya'), ('saldonya', 'kurang'), ('kurang', 'dari'), ('dari', '50rb'), ('50rb', 'otomati'), ('otomati', 'gagal'), ('gagal', 'selang'), ('selang', 'beberapa'), ('beberapa', 'bulan'), ('bulan', 'saya'), ('saya', 'isi'), ('isi', 'saldo'), ('saldo', '500rb'), ('500rb', 'dan'), ('dan', 'ada'), ('ada', 'notif'), ('notif', 'kalo'), ('kalo', 'pembayarannya'), ('pembayarannya', 'gagal'), ('gagal', 'tapi'), ('tapi', 'setelah'), ('setelah', 'saya'), ('saya', 'menggunakan'), ('menggunakan', 'saldonya'), ('saldonya', '400rb'), ('400rb', 'saldo'), ('saldo', 'saya'), ('saya', 'di'), ('di', 'potong'), ('potong', 'sekitar'), ('sekitar', '54rb'), ('54rb', 'untuk'), ('untuk', 'berlangganan'), ('berlangganan', 'padah'), ('padah', 'pembayaran'), ('pembayaran', 'sudah'), ('sudah', 'gagal'), ('gagal', 'kenapa'), ('kenapa', 'masih'), ('masih', 'terpotongg')]","[('saya', 'mencoba', 'melakukan'), ('mencoba', 'melakukan', 'pembayaran'), ('melakukan', 'pembayaran', 'untuk'), ('pembayaran', 'untuk', 'mengecek'), ('untuk', 'mengecek', 'yang'), ('mengecek', 'yang', 'digunakan'), ('yang', 'digunakan', 'setelah'), ('digunakan', 'setelah', 'itu'), ('setelah', 'itu', 'ternyata'), ('itu', 'ternyata', 'yang'), ('ternyata', 'yang', 'digunakan'), ('yang', 'digunakan', 'shope'), ('digunakan', 'shope', 'pay'), ('shope', 'pay', 'dan'), ('pay', 'dan', 'saldonya'), ('dan', 'saldonya', 'kurang'), ('saldonya', 'kurang', 'dari'), ('kurang', 'dari', '50rb'), ('dari', '50rb', 'otomati'), ('50rb', 'otomati', 'gagal'), ('otomati', 'gagal', 'selang'), ('gagal', 'selang', 'beberapa'), ('selang', 'beberapa', 'bulan'), ('beberapa', 'bulan', 'saya'), ('bulan', 'saya', 'isi'), ('saya', 'isi', 'saldo'), ('isi', 'saldo', '500rb'), ('saldo', '500rb', 'dan'), ('500rb', 'dan', 'ada'), ('dan', 'ada', 'notif'), ('ada', 'notif', 'kalo'), ('notif', 'kalo', 'pembayarannya'), ('kalo', 'pembayarannya', 'gagal'), ('pembayarannya', 'gagal', 'tapi'), ('gagal', 'tapi', 'setelah'), ('tapi', 'setelah', 'saya'), ('setelah', 'saya', 'menggunakan'), ('saya', 'menggunakan', 'saldonya'), ('menggunakan', 'saldonya', '400rb'), ('saldonya', '400rb', 'saldo'), ('400rb', 'saldo', 'saya'), ('saldo', 'saya', 'di'), ('saya', 'di', 'potong'), ('di', 'potong', 'sekitar'), ('potong', 'sekitar', '54rb'), ('sekitar', '54rb', 'untuk'), ('54rb', 'untuk', 'berlangganan'), ('untuk', 'berlangganan', 'padah'), ('berlangganan', 'padah', 'pembayaran'), ('padah', 'pembayaran', 'sudah'), ('pembayaran', 'sudah', 'gagal'), ('sudah', 'gagal', 'kenapa'), ('gagal', 'kenapa', 'masih'), ('kenapa', 'masih', 'terpotongg')]"
Dyllaa,1,JELEK,2025-09-25 09:43:17,,0,ae55cacc-d4ff-4547-8f01-bf97613b15d2,jelek,['JELEK'],['jelek'],['jelek'],jelek,[],[]
ULpann SRT,1,loading Mulu sialan,2025-09-25 08:28:41,,0,442bd356-828b-4faa-8043-f9e2b3ce6ed2,loading mulu sialan,"['loading', 'Mulu', 'sialan']","['load', 'mulu', 'sialan']","['load', 'mulu', 'sialan']",load mulu sialan,"[('load', 'mulu'), ('mulu', 'sialan')]","[('load', 'mulu', 'sialan')]"
Rara Jungkies,5,okey,2025-09-25 07:05:43,,0,73d479ea-7c62-4d52-a2a5-2be58e0fafdc,okey,['okey'],['okey'],['okey'],okey,[],[]
Horas Andi Lao Aritonang,1,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒",2025-09-25 06:30:48,,0,fdba878b-92cd-498b-8862-72488359069c,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒","['aplikasi', 'apaan', 'nih', '.', 'gk', 'bisa', 'login', ',', 'gw', 'blom', 'punya', 'udah', 'si', 'suruh', 'login', 'tapi', 'gk', ',', 'bikin', 'akunnya', 'juga', 'ribet', '🗿😒']","['aplikasi', 'apaan', 'nih', '.', 'gk', 'bisa', 'login', ',', 'gw', 'blom', 'punya', 'udah', 'si', 'suruh', 'login', 'tapi', 'gk', ',', 'bikin', 'akunnya', 'juga', 'ribet', '🗿😒']","['aplikasi', 'apaan', 'nih', 'gk', 'bisa', 'login', 'gw', 'blom', 'punya', 'udah', 'si', 'suruh', 'login', 'tapi', 'gk', 'bikin', 'akunnya', 'juga', 'ribet']",aplikasi apaan nih bisa login blom punya udah suruh login tapi bikin akunnya juga ribet,"[('aplikasi', 'apaan'), ('apaan', 'nih'), ('nih', 'gk'), ('gk', 'bisa'), ('bisa', 'login'), ('login', 'gw'), ('gw', 'blom'), ('blom', 'punya'), ('punya', 'udah'), ('udah', 'si'), ('si', 'suruh'), ('suruh', 'login'), ('login', 'tapi'), ('tapi', 'gk'), ('gk', 'bikin'), ('bikin', 'akunnya'), ('akunnya', 'juga'), ('juga', 'ribet')]","[('aplikasi', 'apaan', 'nih'), ('apaan', 'nih', 'gk'), ('nih', 'gk', 'bisa'), ('gk', 'bisa', 'login'), ('bisa', 'login', 'gw'), ('login', 'gw', 'blom'), ('gw', 'blom', 'punya'), ('blom', 'punya', 'udah'), ('punya', 'udah', 'si'), ('udah', 'si', 'suruh'), ('si', 'suruh', 'login'), ('suruh', 'login', 'tapi'), ('login', 'tapi', 'gk'), ('tapi', 'gk', 'bikin'), ('gk', 'bikin', 'akunnya'), ('bikin', 'akunnya', 'juga'), ('akunnya', 'juga', 'ribet')]"
Alfaris Ramadhan,5,Mudah,2025-09-25 06:02:13,,0,c27f7409-18c9-464f-a5df-104596e8ce3d,mudah,['Mudah'],['mudah'],['mudah'],mudah,[],[]
Feby Dwi ayu,5,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",2025-09-25 04:47:59,,0,45b763bf-a31b-4f7b-98ac-cd0b93241468,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa","['seru', 'banget', 'nonton', 'disiniiii', ',', 'ak', 'kasi', 'bintang', '5', 'deh', 'buat', 'netflix', ',', 'banya', 'banget', 'movie', 'horor', 'yang', 'aku', 'sukaaaa']","['seru', 'banget', 'nonton', 'disiniiii', ',', 'ak', 'kasi', 'bintang', '5', 'deh', 'buat', 'netflix', ',', 'banya', 'banget', 'movi', 'horor', 'yang', 'aku', 'sukaaaa']","['seru', 'banget', 'nonton', 'disiniiii', 'ak', 'kasi', 'bintang', '5', 'deh', 'buat', 'netflix', 'banya', 'banget', 'movi', 'horor', 'yang', 'aku', 'sukaaaa']",seru banget nonton disiniiii kasi bintang deh buat netflix banya banget movi horor yang aku sukaaaa,"[('seru', 'banget'), ('banget', 'nonton'), ('nonton', 'disiniiii'), ('disiniiii', 'ak'), ('ak', 'kasi'), ('kasi', 'bintang'), ('bintang', '5'), ('5', 'deh'), ('deh', 'buat'), ('buat', 'netflix'), ('netflix', 'banya'), ('banya', 'banget'), ('banget', 'movi'), ('movi', 'horor'), ('horor', 'yang'), ('yang', 'aku'), ('aku', 'sukaaaa')]","[('seru', 'banget', 'nonton'), ('banget', 'nonton', 'disiniiii'), ('nonton', 'disiniiii', 'ak'), ('disiniiii', 'ak', 'kasi'), ('ak', 'kasi', 'bintang'), ('kasi', 'bintang', '5'), ('bintang', '5', 'deh'), ('5', 'deh', 'buat'), ('deh', 'buat', 'netflix'), ('buat', 'netflix', 'banya'), ('netflix', 'banya', 'banget'), ('banya', 'banget', 'movi'), ('banget', 'movi', 'horor'), ('movi', 'horor', 'yang'), ('horor', 'yang', 'aku'), ('yang', 'aku', 'sukaaaa')]"
almiraaurelia0911,1,"udan masukin nomor WA gak bisa WA HP ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk",2025-09-25 03:33:02,,0,58adf2a0-93b9-45fa-a025-05a4a0190b6d,"udan masukin nomor wa gak bisa wa hp ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk","['udan', 'masukin', 'nomor', 'WA', 'gak', 'bisa', 'WA', 'HP', 'ku', 'satunya', 'lagi', 'juga', 'gak', 'bisa', ',', 'email', 'udah', 'ku', 'masukin', 'email', '4x', 'gak', 'bisa', 'masuk']","['udan', 'masukin', 'nomor', 'wa', 'gak', 'bisa', 'wa', 'hp', 'ku', 'satunya', 'lagi', 'juga', 'gak', 'bisa', ',', 'email', 'udah', 'ku', 'masukin', 'email', '4x', 'gak', 'bisa', 'masuk']","['udan', 'masukin', 'nomor', 'wa', 'gak', 'bisa', 'wa', 'hp', 'ku', 'satunya', 'lagi', 'juga', 'gak', 'bisa', 'email', 'udah', 'ku', 'masukin', 'email', '4x', 'gak', 'bisa', 'masuk']",udan masukin nomor gak bisa satunya lagi juga gak bisa email udah masukin email gak bisa masuk,"[('udan', 'masukin'), ('masukin', 'nomor'), ('nomor', 'wa'), ('wa', 'gak'), ('gak', 'bisa'), ('bisa', 'wa'), ('wa', 'hp'), ('hp', 'ku'), ('ku', 'satunya'), ('satunya', 'lagi'), ('lagi', 'juga'), ('juga', 'gak'), ('gak', 'bisa'), ('bisa', 'email'), ('email', 'udah'), ('udah', 'ku'), ('ku', 'masukin'), ('masukin', 'email'), ('email', '4x'), ('4x', 'gak'), ('gak', 'bisa'), ('bisa', 'masuk')]","[('udan', 'masukin', 'nomor'), ('masukin', 'nomor', 'wa'), ('nomor', 'wa', 'gak'), ('wa', 'gak', 'bisa'), ('gak', 'bisa', 'wa'), ('bisa', 'wa', 'hp'), ('wa', 'hp', 'ku'), ('hp', 'ku', 'satunya'), ('ku', 'satunya', 'lagi'), ('satunya', 'lagi', 'juga'), ('lagi', 'juga', 'gak'), ('juga', 'gak', 'bisa'), ('gak', 'bisa', 'email'), ('bisa', 'email', 'udah'), ('email', 'udah', 'ku'), ('udah', 'ku', 'masukin'), ('ku', 'masukin', 'email'), ('masukin', 'email', '4x'), ('email', '4x', 'gak'), ('4x', 'gak', 'bisa'), ('gak', 'bisa', 'masuk')]"
OTP_Candra wulandari,3,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,2025-09-25 02:48:27,,0,209dcaf3-6225-4348-b9c2-4e207b570029,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,"['kenapa', 'tidak', 'bisa', 'berjalan', 'netflix', 'nya', '?', 'saya', 'gabisa', 'nntn', 'karena', 'terus', 'memuat', '.', 'padahal', 'internet', 'nya', 'lancar', 'banget']","['kenapa', 'tidak', 'bisa', 'berjalan', 'netflix', 'nya', '?', 'saya', 'gabisa', 'nntn', 'karena', 'teru', 'memuat', '.', 'padah', 'internet', 'nya', 'lancar', 'banget']","['kenapa', 'tidak', 'bisa', 'berjalan', 'netflix', 'nya', 'saya', 'gabisa', 'nntn', 'karena', 'teru', 'memuat', 'padah', 'internet', 'nya', 'lancar', 'banget']",kenapa tidak bisa berjalan netflix nya saya gabisa nntn karena teru memuat padah internet nya lancar banget,"[('kenapa', 'tidak'), ('tidak', 'bisa'), ('bisa', 'berjalan'), ('berjalan', 'netflix'), ('netflix', 'nya'), ('nya', 'saya'), ('saya', 'gabisa'), ('gabisa', 'nntn'), ('nntn', 'karena'), ('karena', 'teru'), ('teru', 'memuat'), ('memuat', 'padah'), ('padah', 'internet'), ('internet', 'nya'), ('nya', 'lancar'), ('lancar', 'banget')]","[('kenapa', 'tidak', 'bisa'), ('tidak', 'bisa', 'berjalan'), ('bisa', 'berjalan', 'netflix'), ('berjalan', 'netflix', 'nya'), ('netflix', 'nya', 'saya'), ('nya', 'saya', 'gabisa'), ('saya', 'gabisa', 'nntn'), ('gabisa', 'nntn', 'karena'), ('nntn', 'karena', 'teru'), ('karena', 'teru', 'memuat'), ('teru', 'memuat', 'padah'), ('memuat', 'padah', 'internet'), ('padah', 'internet', 'nya'), ('internet', 'nya', 'lancar'), ('nya', 'lancar', 'banget')]"
Jurdin Ogi Jurdin Ogi,3,tidak berguna,2025-09-24 23:39:28,,0,f38469b2-b5a7-4440-b60c-74f3f13d8394,tidak berguna,"['tidak', 'berguna']","['tidak', 'berguna']","['tidak', 'berguna']",tidak berguna,"[('tidak', 'berguna')]",[]
Aku Aku,3,Aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,2025-09-24 22:10:51,,0,71af251d-ee02-4c93-8e5b-b68890169c1f,aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,"['Aku', 'masih', 'bingung', 'cara', 'buka', 'aplikasi', 'nya', 'keluar', 'sendiri', 'kebanyakan', 'keluar', 'sendiri']","['aku', 'masih', 'bingung', 'cara', 'buka', 'aplikasi', 'nya', 'keluar', 'sendiri', 'kebanyakan', 'keluar', 'sendiri']","['aku', 'masih', 'bingung', 'cara', 'buka', 'aplikasi', 'nya', 'keluar', 'sendiri', 'kebanyakan', 'keluar', 'sendiri']",aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,"[('aku', 'masih'), ('masih', 'bingung'), ('bingung', 'cara'), ('cara', 'buka'), ('buka', 'aplikasi'), ('aplikasi', 'nya'), ('nya', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'kebanyakan'), ('kebanyakan', 'keluar'), ('keluar', 'sendiri')]","[('aku', 'masih', 'bingung'), ('masih', 'bingung', 'cara'), ('bingung', 'cara', 'buka'), ('cara', 'buka', 'aplikasi'), ('buka', 'aplikasi', 'nya'), ('aplikasi', 'nya', 'keluar'), ('nya', 'keluar', 'sendiri'), ('keluar', 'sendiri', 'kebanyakan'), ('sendiri', 'kebanyakan', 'keluar'), ('kebanyakan', 'keluar', 'sendiri')]"
Azka Emun,5,driver,2025-09-24 20:11:17,,0,40439bdc-20c2-4f7b-8121-7901e7f64e15,driver,['driver'],['driver'],['driver'],driver,[],[]
Ananias_ Aje,1,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus",2025-09-24 15:46:07,,0,c3307205-b798-4e55-a9db-5d21f9ea6cec,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus","['buruk', ',', 'tidak', 'bermanfaat', ',', 'penyedot', 'kuota', 'internet', ',', 'sumber', 'virus']","['buruk', ',', 'tidak', 'bermanfaat', ',', 'penyedot', 'kuota', 'internet', ',', 'sumber', 'viru']","['buruk', 'tidak', 'bermanfaat', 'penyedot', 'kuota', 'internet', 'sumber', 'viru']",buruk tidak bermanfaat penyedot kuota internet sumber viru,"[('buruk', 'tidak'), ('tidak', 'bermanfaat'), ('bermanfaat', 'penyedot'), ('penyedot', 'kuota'), ('kuota', 'internet'), ('internet', 'sumber'), ('sumber', 'viru')]","[('buruk', 'tidak', 'bermanfaat'), ('tidak', 'bermanfaat', 'penyedot'), ('bermanfaat', 'penyedot', 'kuota'), ('penyedot', 'kuota', 'internet'), ('kuota', 'internet', 'sumber'), ('internet', 'sumber', 'viru')]"
Alfarizi Pria,2,gak bisa login,2025-09-24 13:19:55,,0,189dc22a-e3e8-42f2-9cf2-0e64dafe54d5,gak bisa login,"['gak', 'bisa', 'login']","['gak', 'bisa', 'login']","['gak', 'bisa', 'login']",gak bisa login,"[('gak', 'bisa'), ('bisa', 'login')]","[('gak', 'bisa', 'login')]"
leonardo Nahampun,2,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,2025-09-24 13:08:51,,0,f86fd9d5-1970-40c6-927f-c6ebf2712592,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,"['penuh', 'dengan', 'film', 'korea', 'dan', 'film', 'serial', '...', 'filmnya', 'juga', 'tidak', 'ganti', 'ganti', '...', 'itu', 'terus', 'bertengger', '.']","['penuh', 'dengan', 'film', 'korea', 'dan', 'film', 'serial', '...', 'filmnya', 'juga', 'tidak', 'ganti', 'ganti', '...', 'itu', 'teru', 'bertengg', '.']","['penuh', 'dengan', 'film', 'korea', 'dan', 'film', 'serial', 'filmnya', 'juga', 'tidak', 'ganti', 'ganti', 'itu', 'teru', 'bertengg']",penuh dengan film korea dan film serial filmnya juga tidak ganti ganti itu teru bertengg,"[('penuh', 'dengan'), ('dengan', 'film'), ('film', 'korea'), ('korea', 'dan'), ('dan', 'film'), ('film', 'serial'), ('serial', 'filmnya'), ('filmnya', 'juga'), ('juga', 'tidak'), ('tidak', 'ganti'), ('ganti', 'ganti'), ('ganti', 'itu'), ('itu', 'teru'), ('teru', 'bertengg')]","[('penuh', 'dengan', 'film'), ('dengan', 'film', 'korea'), ('film', 'korea', 'dan'), ('korea', 'dan', 'film'), ('dan', 'film', 'serial'), ('film', 'serial', 'filmnya'), ('serial', 'filmnya', 'juga'), ('filmnya', 'juga', 'tidak'), ('juga', 'tidak', 'ganti'), ('tidak', 'ganti', 'ganti'), ('ganti', 'ganti', 'itu'), ('ganti', 'itu', 'teru'), ('itu', 'teru', 'bertengg')]"
oji rojiki,1,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel",2025-09-24 13:08:27,,0,08c41bf0-6486-48c9-bef2-3341f1908f4b,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel","['bug', 'makin', 'parah', ',', 'lagi', 'nonton', 'keluar', 'sendiri', ',', 'begitu', 'terus', 'ampe', 'kesel']","['bug', 'makin', 'parah', ',', 'lagi', 'nonton', 'keluar', 'sendiri', ',', 'begitu', 'teru', 'amp', 'kesel']","['bug', 'makin', 'parah', 'lagi', 'nonton', 'keluar', 'sendiri', 'begitu', 'teru', 'amp', 'kesel']",bug makin parah lagi nonton keluar sendiri begitu teru amp kesel,"[('bug', 'makin'), ('makin', 'parah'), ('parah', 'lagi'), ('lagi', 'nonton'), ('nonton', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'begitu'), ('begitu', 'teru'), ('teru', 'amp'), ('amp', 'kesel')]","[('bug', 'makin', 'parah'), ('makin', 'parah', 'lagi'), ('parah', 'lagi', 'nonton'), ('lagi', 'nonton', 'keluar'), ('nonton', 'keluar', 'sendiri'), ('keluar', 'sendiri', 'begitu'), ('sendiri', 'begitu', 'teru'), ('begitu', 'teru', 'amp'), ('teru', 'amp', 'kesel')]"
Nur Sabrina Elvhira,5,bagus jir🤭,2025-09-24 12:10:00,,0,7ef81816-b2dd-479a-9be3-b86fc2adef0e,bagus jir🤭,"['bagus', 'jir🤭']","['bagu', 'jir🤭']",['bagu'],bagu,[],[]
Farel Eko.C,5,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,2025-09-24 07:28:06,,0,06bb0228-9591-4806-9ac7-2f08110f7b3e,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,"['jangan', 'donwload', 'bre', 'gk', 'recomend', 'login', 'susah', 'kek', 'musang', 'aplikasi', 'tidak', 'bermutu', 'film', 'gk', 'lengkap', 'hapus', 'aja', 'dari', 'playstore.admin', 'dongok']","['jangan', 'donwload', 'bre', 'gk', 'recomend', 'login', 'susah', 'kek', 'musang', 'aplikasi', 'tidak', 'bermutu', 'film', 'gk', 'lengkap', 'hapu', 'aja', 'dari', 'playstore.admin', 'dongok']","['jangan', 'donwload', 'bre', 'gk', 'recomend', 'login', 'susah', 'kek', 'musang', 'aplikasi', 'tidak', 'bermutu', 'film', 'gk', 'lengkap', 'hapu', 'aja', 'dari', 'dongok']",jangan donwload bre recomend login susah kek musang aplikasi tidak bermutu film lengkap hapu aja dari dongok,"[('jangan', 'donwload'), ('donwload', 'bre'), ('bre', 'gk'), ('gk', 'recomend'), ('recomend', 'login'), ('login', 'susah'), ('susah', 'kek'), ('kek', 'musang'), ('musang', 'aplikasi'), ('aplikasi', 'tidak'), ('tidak', 'bermutu'), ('bermutu', 'film'), ('film', 'gk'), ('gk', 'lengkap'), ('lengkap', 'hapu'), ('hapu', 'aja'), ('aja', 'dari'), ('dari', 'dongok')]","[('jangan', 'donwload', 'bre'), ('donwload', 'bre', 'gk'), ('bre', 'gk', 'recomend'), ('gk', 'recomend', 'login'), ('recomend', 'login', 'susah'), ('login', 'susah', 'kek'), ('susah', 'kek', 'musang'), ('kek', 'musang', 'aplikasi'), ('musang', 'aplikasi', 'tidak'), ('aplikasi', 'tidak', 'bermutu'), ('tidak', 'bermutu', 'film'), ('bermutu', 'film', 'gk'), ('film', 'gk', 'lengkap'), ('gk', 'lengkap', 'hapu'), ('lengkap', 'hapu', 'aja'), ('hapu', 'aja', 'dari'), ('aja', 'dari', 'dongok')]"
